#,time[sec],x,y,z,qx,qy,qz,qw
1678990970.36084,0.730188732266242,0.0356342780915029,-0.113988908551403,0.0713510585167898,-0.0381121010984789,0.00238582098989738,-0.996720021900131,
1678990970.37084,0.731599127777757,0.0341907676444158,-0.114238447466144,0.0714544775598512,-0.0379917021203053,0.00282348640382774,-0.99671606595418,
1678990970.38084,0.733012183248629,0.0327909415945252,-0.114480366210048,0.0715384615613186,-0.0378231767362871,0.00329354905209969,-0.996715008592555,
1678990970.39084,0.73446952386586,0.0314399123830299,-0.114557643442018,0.0715445738858348,-0.0377242523637803,0.00375341435541653,-0.996716693254289,
1678990970.40084,0.736026684789835,0.0300361564698015,-0.114478365108389,0.0714994654415239,-0.0375698508209483,0.00429666663182923,-0.996723568200694,
1678990970.41084,0.737628871071773,0.0285372406971375,-0.114230076331066,0.071423693477859,-0.0374103306794106,0.00484474554847727,-0.996732487485488,
1678990970.42084,0.739168324355682,0.0269742843286523,-0.113863652737347,0.0712916149046348,-0.0372626750738231,0.00539300633495683,-0.996744658462388,
1678990970.43084,0.740656688914295,0.0253927439411615,-0.113444874708975,0.0711162003218957,-0.0371328256002542,0.00592396713127195,-0.996759020991606,
1678990970.44084,0.742127053900401,0.023875110075598,-0.113053270165368,0.0709491189095964,-0.0370765331901859,0.00641354224319508,-0.996769993372816,
1678990970.45084,0.743709741600408,0.0224563578818197,-0.112706646732204,0.0708092296344371,-0.0369781198138114,0.00693682192209449,-0.996780092174414,
1678990970.46084,0.745271401051594,0.0211685704649165,-0.11261409673993,0.0707618920190646,-0.0362156874095367,0.00791208212772868,-0.99680418216405,
1678990970.47084,0.746980101712218,0.0199076769046954,-0.112542272882396,0.0707367895780037,-0.036014645330421,0.00855801981064673,-0.996807911394589,
1678990970.48084,0.748705776809676,0.0186695309543617,-0.112494214039723,0.0707240780004062,-0.0357762064516154,0.00920746106532609,-0.996811612343905,
1678990970.49084,0.750402952451259,0.0174363523009538,-0.112405017710632,0.0706965906203917,-0.0356099194561431,0.00983956779669942,-0.996813477344962,
1678990970.50084,0.752151660556616,0.0161833534130708,-0.112223307714593,0.0706865666554643,-0.0354847051394628,0.0104732453593081,-0.996812197019715,
1678990970.51084,0.753953158713086,0.0149082286289907,-0.111949667578906,0.0706480294446172,-0.0353624708337509,0.0111023630597518,-0.996812464371616,
1678990970.52084,0.755781686938152,0.0136248598167811,-0.111599191729081,0.0706077496791544,-0.0351901668727124,0.011767844902139,-0.996813781840458,
1678990970.53084,0.757593662886868,0.0123507260711192,-0.11121693746282,0.0705338256601439,-0.0350318527016764,0.0124159123535692,-0.996816730324317,
1678990970.54084,0.759392746436647,0.0110925949041937,-0.110835874009709,0.0704818014337417,-0.0348588665345347,0.0130742388666117,-0.996818057304663,
1678990970.55084,0.761224157034744,0.00986148190508676,-0.110509744285025,0.0704371733618095,-0.034689112886727,0.0137342996997811,-0.996818257792105,
1678990970.56084,0.762780692558145,0.00874177743691725,-0.110510465486992,0.070445553485358,-0.0342439562316279,0.0147974666264724,-0.996817842154316,
1678990970.57084,0.764706096305321,0.00763908706873179,-0.110365645526619,0.0704756030582488,-0.0340293679643898,0.01548864573179,-0.996812566806276,
1678990970.58084,0.766715822225141,0.0065791746811586,-0.110255413225836,0.0705208341602059,-0.0338332218808971,0.0162176630931655,-0.99680445045671,
1678990970.59084,0.76877521766953,0.00554374012672925,-0.110145092593751,0.0705787946064621,-0.0336428834015338,0.016954700246336,-0.99679452661413,
1678990970.60084,0.770795659488215,0.00451769233923457,-0.110010416605636,0.0706298298884742,-0.0334146607937372,0.0176967173745353,-0.996785690992869,
1678990970.61084,0.772755502408757,0.0034647189139133,-0.109844993993622,0.0706767150364952,-0.0331661497210832,0.0184279153979351,-0.996777417680806,
1678990970.62084,0.774621228446737,0.00237854376541122,-0.109635851359894,0.070714635763152,-0.0329263302151272,0.019117508894241,-0.996769691514107,
1678990970.63084,0.776304879692121,0.0013593446419753,-0.10940124396586,0.0707364539601555,-0.0327285906921896,0.019769784491165,-0.996761931984573,
1678990970.64084,0.777931722487573,0.000402680177789709,-0.109183205753386,0.0707635537536786,-0.0325133332409454,0.020408998386212,-0.996754169997089,
1678990970.65084,0.779528587367397,-0.00046279878093191,-0.109043061630156,0.0708308219774214,-0.0322593736846871,0.0211089336480215,-0.996743066385575,
1678990970.66084,0.781061764747244,-0.00138490117525977,-0.108998958891482,0.0708813335986316,-0.0319651383832863,0.022204130300639,-0.996725159245521,
1678990970.67084,0.78265156140456,-0.00218976223357925,-0.109018286023637,0.0710205697943316,-0.0317772213318492,0.0228899745667476,-0.996705741899207,
1678990970.68084,0.784252783109377,-0.00297844516791248,-0.108997598989947,0.0711560781703109,-0.0316197110210867,0.0235518041051311,-0.996685667067485,
1678990970.69084,0.785913029286802,-0.00375688309327346,-0.10894126587087,0.0712783665754145,-0.0314825036075994,0.0242171301702307,-0.996665328498617,
1678990970.70084,0.787673919363468,-0.00454632382483559,-0.108852582199937,0.0714089064083297,-0.0312677212337857,0.0249572134692507,-0.996644487864285,
1678990970.71084,0.789459117236619,-0.00533290906291646,-0.108755039412746,0.0715484087901284,-0.0310622160403075,0.0257172680094008,-0.996621586190264,
1678990970.72084,0.791165669414857,-0.00616194047233134,-0.108647932544291,0.07167519677994,-0.030814647639374,0.0264357043893734,-0.996601363229479,
1678990970.73084,0.792730037023323,-0.00699216943632509,-0.108523352573537,0.0717786539324513,-0.0305917363751459,0.0270734964989074,-0.996583662465186,
1678990970.74084,0.79424373807443,-0.00782527534426728,-0.108407757306704,0.0719159232902727,-0.0303135485725821,0.027693802319967,-0.996565222182326,
1678990970.75084,0.795747914147904,-0.00863538061443946,-0.108316075015035,0.0720470094556752,-0.0300630196294847,0.0282998201698253,-0.996546317768325,
1678990970.76084,0.797578209877863,-0.00967748583683999,-0.108198746060738,0.0721046633208564,-0.0296122931158849,0.0290013142203036,-0.996535475232719,
1678990970.77084,0.799290205656795,-0.0104626041259253,-0.108151544557221,0.0722638192396557,-0.0293820821814756,0.0295544711346759,-0.996514509132471,
1678990970.78084,0.801024750496911,-0.0112336636324088,-0.108121725830413,0.0724463300874657,-0.0291461798646685,0.0300615646170854,-0.996493016427575,
1678990970.79084,0.802760271556851,-0.0119858637859491,-0.108096993593478,0.072652423243572,-0.0289334541374117,0.0305261277174113,-0.996470087937965,
1678990970.80084,0.804481903629297,-0.0127305261699383,-0.108064989896965,0.0728328223060106,-0.028734000867324,0.0309475392738489,-0.996449691154547,
1678990970.81084,0.806204690538984,-0.0134977728431201,-0.108015280639585,0.0730201013289962,-0.0285225049076959,0.0312961699239864,-0.996431172366553,
