Time,Orientation Speed In Current Wobj,Speed In Current Wobj,Maximum Linear Acceleration In World,Orientation\Q1 In Current Wobj,Orientation\Q2 In Current Wobj,Orientation\Q3 In Current Wobj,Orientation\Q4 In Current Wobj,Position\X Position In Current Wobj,Position\Y Position In Current Wobj,Position\Z Position In Current Wobj
0,0,0,638.132154941559,0.0000258821346506011,0.707119166851044,-0.707094371318817,-0.00000302486796499579,-1784.39819812775,228.619232773781,264.877080917358
3.484,0,0,0,0.0000258821346506011,0.707119166851044,-0.707094371318817,-0.00000302486796499579,-1784.39819812775,228.619232773781,264.877080917358
3.726,0,0,0,0.0000258821346506011,0.707119166851044,-0.707094371318817,-0.00000302486796499579,-1784.39819812775,228.619232773781,264.877080917358
3.774,6.71313979131942,68.1895986199379,8656.47888183594,0.00141030957456678,-0.499987423419952,-0.866031527519226,-0.0000275000675173942,-1669.78454589844,594.713032245636,430.526584386826
3.799,22.4141092897593,227.668583393097,8656.47888183594,0.0061311824247241,-0.499984443187714,-0.866012692451477,-0.0000309282258967869,-1664.75510597229,592.919588088989,429.229259490967
3.823,35.5150507405312,360.714614391327,8656.47888183594,0.0137191535905004,-0.499956548213959,-0.865941822528839,-0.0000368283654097468,-1656.67116641998,590.03734588623,427.144944667816
3.847,39.0087778783573,396.185040473938,8656.47888183594,0.022032031789422,-0.49989315867424,-0.865806818008423,-0.0000435455876868218,-1647.81391620636,586.879670619965,424.862086772919
3.871,39.3466502611249,399.614781141281,8656.47888183594,0.0303434021770954,-0.499795258045197,-0.865611910820007,-0.0000502785878779832,-1638.95666599274,583.721995353699,422.579377889633
3.895,39.379756188032,399.960786104202,8656.47888183594,0.0386527627706528,-0.499662637710571,-0.865357279777527,-0.0000568258474231698,-1630.09929656982,580.564141273499,420.296132564545
3.92,39.3828058674964,400.000661611557,8656.47888183594,0.0469594970345497,-0.499495446681976,-0.865042865276337,-0.0000633560048299842,-1621.24168872833,577.406167984009,418.012738227844
3.944,39.3834547354676,400.004059076309,8656.47888183594,0.0552630834281445,-0.499293684959412,-0.864668607711792,-0.0000699522279319353,-1612.38408088684,574.248135089874,415.729373693466
3.968,39.3835640184943,400.011152029037,8656.47888183594,0.0635628402233124,-0.499057441949844,-0.864234566688538,-0.000076350785093382,-1603.52635383606,571.09010219574,413.445979356766
3.992,39.3833693581029,400.010645389557,8656.47888183594,0.0704759508371353,-0.498834192752838,-0.863827288150787,-0.0000818806875031441,-1596.14503383636,568.458378314972,411.543160676956
4.016,39.3834820562242,400.003165006638,8656.47888183594,0.0787671878933907,-0.498534709215164,-0.863283753395081,-0.0000884053151821718,-1587.28754520416,565.300405025482,409.259766340256
4.041,39.3831473769549,400.000989437103,8656.47888183594,0.0870528370141983,-0.498200803995132,-0.862680554389954,-0.0000948750384850428,-1578.43005657196,562.142491340637,406.976342201233
4.065,39.3829834524148,399.997442960739,8656.47888183594,0.095332533121109,-0.497832447290421,-0.862017750740051,-0.00010130052396562,-1569.57268714905,558.984577655792,404.69291806221
4.089,39.3828263580639,399.993628263474,8656.47888183594,0.104983747005463,-0.497359216213226,-0.861169099807739,-0.00010884251241805,-1559.23914909363,555.300414562225,402.028918266296
4.113,39.3827819618343,399.994164705276,8656.47888183594,0.113248370587826,-0.496916323900223,-0.860377192497253,-0.000115267459477764,-1550.38189888,552.142560482025,399.745494127274
4.137,39.3826658486184,399.995744228363,8656.47888183594,0.12150514870882,-0.496439099311829,-0.859525859355927,-0.000121687073260546,-1541.52452945709,548.984706401825,397.462069988251
4.161,39.3829322259961,400.000095367432,8656.47888183594,0.129753664135933,-0.495927542448044,-0.858615100383759,-0.00012817389506381,-1532.66716003418,545.82679271698,395.178645849228
4.186,39.3832190939412,400.006502866745,8656.47888183594,0.137993216514587,-0.495381653308868,-0.857644975185394,-0.000134606510982849,-1523.80955219269,542.668759822845,392.895311117172
4.21,39.3840284713578,400.014340877533,8656.47888183594,0.14622338116169,-0.494801431894302,-0.856615602970123,-0.000141195152536966,-1514.95170593262,539.510726928711,390.612065792084
4.234,39.3841377543846,400.022059679031,8656.47888183594,0.15444341301918,-0.494186967611313,-0.855526983737946,-0.000147655766340904,-1506.09374046326,536.352574825287,388.328820466995
4.258,39.3840626223037,400.022268295288,8656.47888183594,0.162652745842934,-0.493538349866867,-0.854379296302795,-0.000154299224959686,-1497.2357749939,533.194422721863,386.045664548874
4.282,39.3840079807903,400.019913911819,8656.47888183594,0.169485315680504,-0.492971777915955,-0.85337769985199,-0.0001596645306563,-1489.85421657562,530.56263923645,384.142965078354
4.307,39.3839601694661,400.014340877533,8656.47888183594,0.179037138819695,-0.492138832807541,-0.851906716823578,-0.000167259218869731,-1479.52008247375,526.878297328949,381.479144096375
4.331,39.3835708486834,400.007724761963,8656.47888183594,0.187210917472839,-0.491388082504272,-0.850582003593445,-0.000173704625922255,-1470.66247463226,523.720264434814,379.195839166641
4.355,39.3833010562112,400.006324052811,8656.47888183594,0.195371747016907,-0.490603446960449,-0.849198520183563,-0.000180025235749781,-1461.80486679077,520.562291145325,376.912415027618
4.379,39.3829424712798,399.994015693665,8656.47888183594,0.203518986701965,-0.489784926176071,-0.847756266593933,-0.00018640786584001,-1452.94761657715,517.404437065125,374.628961086273
4.403,39.3828297731585,399.991363286972,8656.47888183594,0.211652174592018,-0.488932579755783,-0.846255421638489,-0.000192625870113261,-1444.09036636353,514.246582984924,372.345417737961
4.428,39.3827068297534,399.992972612381,8656.47888183594,0.219770655035973,-0.488046497106552,-0.844696044921875,-0.000198878857190721,-1435.23323535919,511.088728904724,370.061844587326
4.452,39.3825633957809,399.980872869492,8656.47888183594,0.227873891592026,-0.487126708030701,-0.843078315258026,-0.00020498369121924,-1426.37634277344,507.930994033813,367.778241634369
