#,time[sec],x,y,z,qx,qy,qz,qw
1680762190.99575,0.147077269345987,0.0838748980574086,0.303212869912405,-0.0128768087088819,-0.518599303517636,-0.0219220948747716,0.854639322723217,
1680762191.00575,0.147121690912623,0.0837144732228312,0.303268326773815,-0.0128916938699353,-0.518577528907688,-0.0219177911146344,0.854652421264817,
1680762191.01575,0.147156255088798,0.08356032061804,0.30331966424151,-0.0129275989507641,-0.518542234300764,-0.0218965750070569,0.854673837457717,
1680762191.02575,0.147181028034141,0.0834104235028374,0.303370435339665,-0.0129590389326935,-0.518506530885063,-0.0218917534639546,0.854695145575164,
1680762191.03575,0.147195862093646,0.0832652445587641,0.303421337721586,-0.0129766812313787,-0.518460497230216,-0.0218886222413177,0.854722883028408,
1680762191.04575,0.147202085483474,0.0831248592635811,0.303472900362164,-0.0129989029000539,-0.518426316800187,-0.0218858994684954,0.854743347430585,
1680762191.05575,0.147200275863053,0.082989576312584,0.303525677163876,-0.0130250188282536,-0.518397306697608,-0.0218752505689968,0.85476081724991,
1680762191.06575,0.147190009321676,0.0828591052538605,0.303581749494788,-0.0130486941798946,-0.518364679913234,-0.0218682607286413,0.854780421729086,
1680762191.07575,0.147170801384031,0.0827343704895948,0.303639393314596,-0.0130767789330428,-0.518333983974546,-0.0218610878539527,0.854798790211856,
1680762191.08575,0.147142401206668,0.082616311514564,0.30369603845704,-0.0131007945771722,-0.518309871363952,-0.0218556784189899,0.854813181782415,
1680762191.09575,0.147103089255639,0.082506005179531,0.303750208964349,-0.0131404097656623,-0.518290637664559,-0.0218351299481526,0.854824760778841,
1680762191.10575,0.147037982103436,0.0824052750435843,0.30382165922302,-0.0130500809026414,-0.51854966499621,-0.0216693270701169,0.854673259547227,
1680762191.11575,0.146980243162431,0.0823096141284348,0.303878052689972,-0.013082604670922,-0.518511060137294,-0.0216660183186392,0.854696267466134,
1680762191.12575,0.146913210562424,0.0822199179109105,0.303936761367393,-0.0131070778410324,-0.518476389344849,-0.0216608215133505,0.854717056699914,
